company_id,type,rule_id,text,confidence_pct
AMBUJACEM,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
AMBUJACEM,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
AMBUJACEM,con,C2,Negative free cash flow raises concern about cash generation quality.,85
AMBUJACEM,con,C5,Return on equity below 10% suggests weak capital efficiency.,80
APOLLOHOSP,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
APOLLOHOSP,pro,P6,Positive earnings per share indicate profitable operations.,75
APOLLOHOSP,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
APOLLOHOSP,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
APOLLOHOSP,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
APOLLOHOSP,pro,P10,A positive asset base provides capacity to support future business growth.,70
APOLLOHOSP,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
APOLLOHOSP,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ASIANPAINT,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
ASIANPAINT,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ASIANPAINT,pro,P6,Positive earnings per share indicate profitable operations.,75
ASIANPAINT,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ASIANPAINT,pro,P10,A positive asset base provides capacity to support future business growth.,70
ASIANPAINT,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
ASIANPAINT,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
ATGL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ATGL,pro,P6,Positive earnings per share indicate profitable operations.,75
ATGL,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ATGL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
ATGL,pro,P10,A positive asset base provides capacity to support future business growth.,70
ATGL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
AXISBANK,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
AXISBANK,pro,P6,Positive earnings per share indicate profitable operations.,75
AXISBANK,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
AXISBANK,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
AXISBANK,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
AXISBANK,pro,P10,A positive asset base provides capacity to support future business growth.,70
AXISBANK,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
AXISBANK,con,C1,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,90
AXISBANK,con,C2,Negative free cash flow raises concern about cash generation quality.,85
AXISBANK,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
AXISBANK,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
AXISBANK,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJ-AUTO,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
BAJAJ-AUTO,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJ-AUTO,pro,P6,Positive earnings per share indicate profitable operations.,75
BAJAJ-AUTO,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJ-AUTO,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BAJAJ-AUTO,pro,P10,A positive asset base provides capacity to support future business growth.,70
BAJAJ-AUTO,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BAJAJ-AUTO,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
BAJAJFINSV,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJAJFINSV,pro,P6,Positive earnings per share indicate profitable operations.,75
BAJAJFINSV,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJFINSV,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BAJAJFINSV,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BAJAJFINSV,pro,P10,A positive asset base provides capacity to support future business growth.,70
BAJAJFINSV,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BAJAJFINSV,con,C1,Debt-to-equity ratio of 4.66 is elevated and warrants monitoring.,90
BAJAJFINSV,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BAJAJFINSV,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
BAJAJFINSV,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
BAJAJHLDNG,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
BAJAJHLDNG,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJAJHLDNG,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJHLDNG,pro,P6,Positive earnings per share indicate profitable operations.,75
BAJAJHLDNG,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJHLDNG,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BAJAJHLDNG,pro,P10,A positive asset base provides capacity to support future business growth.,70
BAJAJHLDNG,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BAJAJHLDNG,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
BAJFINANCE,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJFINANCE,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJFINANCE,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJFINANCE,pro,P6,Positive earnings per share indicate profitable operations.,75
BAJFINANCE,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJFINANCE,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BAJFINANCE,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BAJFINANCE,pro,P10,A positive asset base provides capacity to support future business growth.,70
BAJFINANCE,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BAJFINANCE,con,C1,Debt-to-equity ratio of 3.74 is elevated and warrants monitoring.,90
BAJFINANCE,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BAJFINANCE,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
BAJFINANCE,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
BANKBARODA,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BANKBARODA,pro,P6,Positive earnings per share indicate profitable operations.,75
BANKBARODA,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BANKBARODA,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BANKBARODA,pro,P10,A positive asset base provides capacity to support future business growth.,70
BANKBARODA,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BANKBARODA,con,C1,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring.,90
BANKBARODA,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BANKBARODA,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
BANKBARODA,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
BANKBARODA,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
BANKBARODA,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BEL,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BEL,pro,P6,Positive earnings per share indicate profitable operations.,75
BEL,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BEL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BEL,pro,P10,A positive asset base provides capacity to support future business growth.,70
BEL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BEL,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
BEL,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BEL,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
BHARTIARTL,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
BHARTIARTL,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BHARTIARTL,pro,P6,Positive earnings per share indicate profitable operations.,75
BHARTIARTL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BHARTIARTL,pro,P10,A positive asset base provides capacity to support future business growth.,70
BHARTIARTL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BHARTIARTL,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
BHARTIARTL,con,C1,Debt-to-equity ratio of 2.59 is elevated and warrants monitoring.,90
BHEL,pro,P6,Positive earnings per share indicate profitable operations.,75
BHEL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BHEL,pro,P10,A positive asset base provides capacity to support future business growth.,70
BHEL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BHEL,con,C2,Negative free cash flow raises concern about cash generation quality.,85
BHEL,con,C3,Interest coverage ratio below 1.5x indicates risk in meeting debt obligations.,90
BHEL,con,C5,Return on equity below 10% suggests weak capital efficiency.,80
BHEL,con,C6,Low operating margin indicates weak profitability.,78
BHEL,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
BHEL,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
BOSCHLTD,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
BOSCHLTD,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BOSCHLTD,pro,P6,Positive earnings per share indicate profitable operations.,75
BOSCHLTD,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BOSCHLTD,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BOSCHLTD,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BOSCHLTD,pro,P10,A positive asset base provides capacity to support future business growth.,70
BOSCHLTD,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BOSCHLTD,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
BPCL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BPCL,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
BPCL,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BPCL,pro,P6,Positive earnings per share indicate profitable operations.,75
BPCL,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BPCL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BPCL,pro,P10,A positive asset base provides capacity to support future business growth.,70
BPCL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BPCL,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
BPCL,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BRITANNIA,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
BRITANNIA,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BRITANNIA,pro,P6,Positive earnings per share indicate profitable operations.,75
BRITANNIA,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
BRITANNIA,pro,P10,A positive asset base provides capacity to support future business growth.,70
BRITANNIA,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
BRITANNIA,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
CANBK,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
CANBK,pro,P6,Positive earnings per share indicate profitable operations.,75
CANBK,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
CANBK,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
CANBK,pro,P10,A positive asset base provides capacity to support future business growth.,70
CANBK,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
CANBK,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
CANBK,con,C1,Debt-to-equity ratio of 14.87 is elevated and warrants monitoring.,90
CANBK,con,C6,Low operating margin indicates weak profitability.,78
CANBK,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
CANBK,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
CHOLAFIN,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
CHOLAFIN,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
CHOLAFIN,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
CHOLAFIN,pro,P6,Positive earnings per share indicate profitable operations.,75
CHOLAFIN,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
CHOLAFIN,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
CHOLAFIN,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
CHOLAFIN,pro,P10,A positive asset base provides capacity to support future business growth.,70
CHOLAFIN,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
CHOLAFIN,con,C1,Debt-to-equity ratio of 7.38 is elevated and warrants monitoring.,90
CHOLAFIN,con,C2,Negative free cash flow raises concern about cash generation quality.,85
CHOLAFIN,con,C8,Borrowings represent a high proportion of total assets and increase financial leverage risk.,82
CHOLAFIN,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
CHOLAFIN,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
CIPLA,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
CIPLA,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
CIPLA,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
CIPLA,pro,P6,Positive earnings per share indicate profitable operations.,75
CIPLA,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
CIPLA,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
CIPLA,pro,P10,A positive asset base provides capacity to support future business growth.,70
CIPLA,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
CIPLA,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
CIPLA,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
COALINDIA,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
COALINDIA,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
COALINDIA,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
COALINDIA,pro,P6,Positive earnings per share indicate profitable operations.,75
COALINDIA,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
COALINDIA,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
COALINDIA,pro,P10,A positive asset base provides capacity to support future business growth.,70
COALINDIA,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
COALINDIA,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
COALINDIA,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
DABUR,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
DABUR,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DABUR,pro,P6,Positive earnings per share indicate profitable operations.,75
DABUR,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
DABUR,pro,P10,A positive asset base provides capacity to support future business growth.,70
DABUR,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
DABUR,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
DABUR,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
DIVISLAB,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
DIVISLAB,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
DIVISLAB,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DIVISLAB,pro,P6,Positive earnings per share indicate profitable operations.,75
DIVISLAB,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
DIVISLAB,pro,P10,A positive asset base provides capacity to support future business growth.,70
DIVISLAB,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
DIVISLAB,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
DLF,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
DLF,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
DLF,pro,P6,Positive earnings per share indicate profitable operations.,75
DLF,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
DLF,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
DLF,pro,P10,A positive asset base provides capacity to support future business growth.,70
DLF,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
DLF,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
DLF,con,C5,Return on equity below 10% suggests weak capital efficiency.,80
DLF,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
DMART,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
DMART,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DMART,pro,P6,Positive earnings per share indicate profitable operations.,75
DMART,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
DMART,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
DMART,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
DMART,pro,P10,A positive asset base provides capacity to support future business growth.,70
DMART,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
DMART,con,C6,Low operating margin indicates weak profitability.,78
DRREDDY,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
DRREDDY,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
DRREDDY,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
DRREDDY,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DRREDDY,pro,P6,Positive earnings per share indicate profitable operations.,75
DRREDDY,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
DRREDDY,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
DRREDDY,pro,P10,A positive asset base provides capacity to support future business growth.,70
DRREDDY,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
DRREDDY,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
EICHERMOT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
EICHERMOT,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
EICHERMOT,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
EICHERMOT,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
EICHERMOT,pro,P6,Positive earnings per share indicate profitable operations.,75
EICHERMOT,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
EICHERMOT,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
EICHERMOT,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
EICHERMOT,pro,P10,A positive asset base provides capacity to support future business growth.,70
EICHERMOT,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
EICHERMOT,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
GAIL,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
GAIL,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
GAIL,pro,P6,Positive earnings per share indicate profitable operations.,75
GAIL,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
GAIL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
GAIL,pro,P10,A positive asset base provides capacity to support future business growth.,70
GAIL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
GAIL,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
GODREJCP,pro,P10,A positive asset base provides capacity to support future business growth.,70
GODREJCP,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
GODREJCP,con,C2,Negative free cash flow raises concern about cash generation quality.,85
GODREJCP,con,C4,Company reported a net loss in the most recent financial year.,95
GODREJCP,con,C5,Return on equity below 10% suggests weak capital efficiency.,80
GODREJCP,con,C7,Negative earnings per share indicate losses.,95
GRASIM,pro,P6,Positive earnings per share indicate profitable operations.,75
GRASIM,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
GRASIM,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
GRASIM,pro,P10,A positive asset base provides capacity to support future business growth.,70
GRASIM,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
GRASIM,con,C2,Negative free cash flow raises concern about cash generation quality.,85
GRASIM,con,C5,Return on equity below 10% suggests weak capital efficiency.,80
GRASIM,con,C9,Negative operating cash flow indicates pressure on cash generation from core operations.,88
GRASIM,con,C11,Return on capital employed below 10% suggests the business is generating limited returns on invested capital.,85
HAL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
HAL,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
HAL,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
HAL,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
HAL,pro,P6,Positive earnings per share indicate profitable operations.,75
HAL,pro,P8,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
HAL,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
HAL,pro,P10,A positive asset base provides capacity to support future business growth.,70
HAL,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
HAL,pro,P12,Positive operating cash flow demonstrates the ability of the business to generate cash from operations.,85
HAL,con,C12,Negative net cash flow indicates that total cash outflows exceeded inflows during the latest period.,75
HAVELLS,pro,P2,Positive free cash flow indicates healthy business fundamentals.,80
HAVELLS,pro,P5,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
HAVELLS,pro,P6,Positive earnings per share indicate profitable operations.,75
HAVELLS,pro,P7,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
HAVELLS,pro,P9,Positive earnings and net profit indicate a profitable operating base.,78
HAVELLS,pro,P10,A positive asset base provides capacity to support future business growth.,70
HAVELLS,pro,P11,A sustainable dividend payout reflects shareholder distribution supported by earnings.,70
